大項目,中項目,小項目,工数（万円）,難易度,必要スキル,備考
フロントエンド,編集モーダル,ContractPlanModal実装,15.0,中級,React/TypeScript,プラン選択
フロントエンド,編集モーダル,BasicInfoModal実装,15.0,初級,React/TypeScript,基本情報編集
フロントエンド,編集モーダル,ContractInfoModal実装,15.0,初級,React/TypeScript,契約詳細表示
フロントエンド,ヒートマップ機能,ヒートマップ利用可能数設定UI,15.0,中級,React/TypeScript,新規追加機能
フロントエンド,ヒートマップ機能,使用数管理機能,15.0,中級,React/TypeScript,利用状況追跡
フロントエンド,ヒートマップ機能,制限チェック機能,7.5,初級,TypeScript,バリデーション
フロントエンド,その他UI機能,DatePickerコンポーネント実装,7.5,初級,React/TypeScript,日付選択UI
フロントエンド,その他UI機能,ProxyLoginModal実装,15.0,上級,React/TypeScript,セキュリティ考慮
フロントエンド,その他UI機能,ページネーション実装,7.5,初級,React/TypeScript,ページ分割
フロントエンド,その他UI機能,CSVエクスポート機能,15.0,中級,TypeScript,データ出力
バックエンド,APIエンドポイント,クライアント一覧取得API,15.0,中級,Node.js/Express,ページング対応
バックエンド,APIエンドポイント,クライアント詳細取得API,7.5,初級,Node.js/Express,単一リソース取得
バックエンド,APIエンドポイント,クライアント更新API,15.0,中級,Node.js/Express,バリデーション含む
バックエンド,APIエンドポイント,会社情報更新API,15.0,中級,Node.js/Express,トランザクション処理
バックエンド,APIエンドポイント,契約情報更新API,15.0,中級,Node.js/Express,履歴管理
バックエンド,APIエンドポイント,プラン設定API,15.0,中級,Node.js/Express,権限チェック
バックエンド,検索・フィルター処理,検索処理実装,15.0,中級,SQL/ORM,全文検索
バックエンド,検索・フィルター処理,フィルター処理実装,22.5,中級,SQL/ORM,複合条件処理
バックエンド,検索・フィルター処理,ソート処理実装,15.0,中級,SQL/ORM,動的ソート
バックエンド,代理ログイン機能,セッション管理API,22.5,上級,認証/認可,JWT実装
バックエンド,代理ログイン機能,権限チェックAPI,15.0,上級,認証/認可,RBAC実装
バックエンド,代理ログイン機能,ログイン履歴API,7.5,中級,データベース,監査ログ
バックエンド,CSVエクスポート,エクスポート処理実装,15.0,中級,Node.js,ストリーミング処理
バックエンド,CSVエクスポート,データ整形処理,7.5,初級,TypeScript,フォーマット変換
データベース設計,テーブル設計,Organizationテーブル設計,7.5,中級,SQL/PostgreSQL,正規化設計
データベース設計,テーブル設計,Companyテーブル設計,7.5,中級,SQL/PostgreSQL,リレーション設計
データベース設計,テーブル設計,Siteテーブル設計,7.5,中級,SQL/PostgreSQL,インデックス設計
データベース設計,テーブル設計,ClientUserテーブル設計,7.5,中級,SQL/PostgreSQL,権限管理
データベース設計,テーブル設計,ProxyLoginSessionテーブル設計,7.5,中級,SQL/PostgreSQL,セッション管理
データベース設計,インデックス設計,検索用インデックス設計,7.5,上級,SQL/PostgreSQL,パフォーマンス最適化
データベース設計,インデックス設計,パフォーマンス最適化,15.0,上級,SQL/PostgreSQL,クエリチューニング
データベース設計,マイグレーション,初期マイグレーション作成,7.5,中級,ORM/Migration,スキーマ管理
データベース設計,マイグレーション,データ移行スクリプト作成,15.0,中級,SQL/Script,ETL処理
インフラ,環境構築,開発環境構築,7.5,中級,Docker/Docker Compose,コンテナ化
インフラ,環境構築,ステージング環境構築,15.0,中級,AWS/GCP,クラウド環境
インフラ,環境構築,本番環境構築,22.5,上級,AWS/GCP,高可用性構成
インフラ,デプロイ設定,CI/CDパイプライン構築,22.5,上級,GitHub Actions,自動化
インフラ,デプロイ設定,自動テスト設定,15.0,中級,Jest/Cypress,テスト自動化
インフラ,デプロイ設定,モニタリング設定,15.0,中級,Datadog/CloudWatch,監視設定
テスト,単体テスト,フロントエンドテスト作成,37.5,中級,Jest/RTL,カバレッジ80%以上
テスト,単体テスト,バックエンドテスト作成,37.5,中級,Jest/Supertest,API テスト
テスト,結合テスト,API結合テスト,22.5,中級,Postman/Newman,シナリオテスト
テスト,結合テスト,画面遷移テスト,22.5,中級,Cypress/Playwright,E2Eテスト
テスト,結合テスト,フィルター・ソートテスト,15.0,中級,Cypress,機能テスト
テスト,システムテスト,E2Eテスト実施,30.0,上級,Cypress/Selenium,全体シナリオ
テスト,システムテスト,パフォーマンステスト,22.5,上級,JMeter/K6,負荷テスト
テスト,システムテスト,セキュリティテスト,15.0,上級,OWASP ZAP,脆弱性診断
テスト,受入テスト,UAT環境準備,7.5,初級,環境構築,テストデータ準備
テスト,受入テスト,ユーザー受入テスト支援,15.0,中級,テスト管理,バグ管理
リリース作業,リリース準備,リリース計画作成,7.5,中級,プロジェクト管理,スケジュール策定
リリース作業,リリース準備,ロールバック計画作成,7.5,中級,リスク管理,障害対応計画
リリース作業,リリース実施,本番デプロイ作業,15.0,上級,DevOps,Blue-Greenデプロイ
リリース作業,リリース実施,データ移行実施,22.5,上級,データベース,ダウンタイム最小化
リリース作業,リリース実施,本番確認作業,7.5,中級,QA,スモークテスト
既存データ連携,データ分析,既存データ構造分析,15.0,中級,データ分析,ER図作成
既存データ連携,データ分析,データマッピング設計,15.0,中級,ETL設計,変換ルール定義
既存データ連携,連携実装,データ同期処理実装,30.0,上級,ETL/バッチ処理,リアルタイム同期
既存データ連携,連携実装,エラーハンドリング実装,15.0,中級,例外処理,リトライ機能
既存データ連携,連携実装,連携テスト実施,22.5,中級,統合テスト,データ整合性確認
マニュアル作成,ユーザーマニュアル,操作マニュアル作成,22.5,初級,技術文書作成,画面キャプチャ含む
マニュアル作成,ユーザーマニュアル,FAQ作成,7.5,初級,技術文書作成,よくある質問集
マニュアル作成,管理者マニュアル,システム管理マニュアル作成,15.0,中級,技術文書作成,運用手順書
マニュアル作成,管理者マニュアル,トラブルシューティングガイド作成,7.5,中級,技術文書作成,障害対応手順
,,,,,,
合計,,,1432.5,,,
,,,,,,
フェーズ別集計,,,,,,
フェーズ,工数（万円）,比率,期間目安,,,
要件定義・設計,125.0,8.7%,2週間,,,
フロントエンド開発,360.0,25.1%,6週間,,,
バックエンド開発,225.0,15.7%,4週間,,,
データベース設計,75.0,5.2%,1.5週間,,,
インフラ構築,97.5,6.8%,2週間,,,
テスト,202.5,14.1%,3週間,,,
リリース作業,52.5,3.7%,1週間,,,
既存データ連携,82.5,5.8%,2週間,,,
マニュアル作成,52.5,3.7%,1週間,,,
バッファ（リスク対応）,160.0,11.2%,-,,,
合計（バッファ含む）,1432.5,100.0%,22週間,,,
